,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
7707,25203,71.0,44.3,-666666666.0,,71.0
7708,25204,166.0,55.4,19750.0,15839.0,41.0
7709,25205,533.0,66.3,30216.0,20018.0,17.0
7710,25206,373.0,58.4,40982.0,23939.0,60.0
7711,25208,998.0,39.2,45774.0,19314.0,140.0
7712,25209,1386.0,46.3,27112.0,22310.0,285.0
7713,25211,235.0,23.0,-666666666.0,18987.0,88.0
7714,25213,6045.0,43.2,59172.0,35400.0,549.0
7715,25214,671.0,21.2,-666666666.0,13951.0,339.0
7716,25234,1359.0,41.2,53224.0,23710.0,88.0
7717,25235,868.0,42.9,33375.0,19432.0,156.0
7718,25239,1802.0,44.6,39785.0,20818.0,344.0
7719,25241,2092.0,35.1,69145.0,23839.0,43.0
7720,25243,676.0,52.4,29913.0,19610.0,115.0
7721,25244,753.0,46.0,42159.0,16219.0,76.0
7722,25245,352.0,58.3,46136.0,26284.0,44.0
7723,25247,568.0,42.1,35156.0,17420.0,132.0
7724,25248,2787.0,43.7,42563.0,26157.0,209.0
7725,25251,599.0,36.3,33804.0,17026.0,179.0
7726,25252,1318.0,47.7,63989.0,31386.0,25.0
7727,25253,2281.0,42.5,40982.0,22599.0,403.0
7728,25259,505.0,47.7,45313.0,22397.0,94.0
7729,25260,1419.0,46.7,33472.0,17441.0,435.0
7730,25261,327.0,58.2,28456.0,14532.0,90.0
7731,25262,984.0,42.9,65724.0,31020.0,23.0
7732,25264,341.0,29.1,24526.0,11465.0,10.0
7733,25265,1355.0,48.2,35426.0,21651.0,356.0
7734,25266,807.0,42.3,35435.0,18312.0,268.0
7735,25267,643.0,38.7,32941.0,19489.0,185.0
7736,25268,872.0,53.2,40529.0,17610.0,135.0
7737,25270,1091.0,35.9,42500.0,18287.0,137.0
7738,25271,9732.0,42.2,39103.0,23452.0,1468.0
7739,25275,1797.0,49.6,42800.0,19783.0,312.0
7740,25276,7904.0,45.1,31008.0,17700.0,1546.0
7741,25285,635.0,45.7,59375.0,20912.0,15.0
7742,25286,1562.0,42.7,41641.0,18979.0,283.0
7743,25287,1297.0,37.7,27500.0,15333.0,78.0
7744,25301,2472.0,44.9,25035.0,32636.0,793.0
7745,25302,14229.0,43.0,45150.0,26085.0,2325.0
7746,25303,7413.0,41.4,51636.0,30038.0,621.0
7747,25304,8321.0,42.9,53125.0,37971.0,1072.0
7748,25305,0.0,-666666666.0,-666666666.0,-666666666.0,0.0
7749,25306,6512.0,42.3,42575.0,22565.0,1037.0
7750,25309,13561.0,43.7,43656.0,29230.0,1992.0
7751,25311,10456.0,42.3,41130.0,31352.0,2280.0
7752,25312,15253.0,40.4,38235.0,21333.0,3099.0
7753,25313,12295.0,35.7,59641.0,31386.0,1304.0
7754,25314,15716.0,44.1,78945.0,46985.0,2094.0
7755,25315,3175.0,45.9,36941.0,19600.0,652.0
7756,25320,6387.0,44.1,42845.0,23236.0,967.0
7757,25401,13934.0,33.9,34793.0,20041.0,4257.0
7758,25403,13432.0,38.2,71438.0,32084.0,917.0
7759,25404,22602.0,36.1,52270.0,24751.0,2877.0
7760,25405,13363.0,38.4,58393.0,26988.0,1489.0
7761,25411,12386.0,46.9,43506.0,24227.0,1461.0
7762,25413,8346.0,41.3,68723.0,27650.0,643.0
7763,25414,17562.0,40.7,77628.0,35520.0,1778.0
7764,25419,10198.0,40.5,68648.0,29699.0,1326.0
7765,25420,3685.0,43.9,68068.0,29624.0,231.0
7766,25422,2081.0,49.9,29772.0,25802.0,226.0
7767,25425,13160.0,42.3,71933.0,32647.0,1046.0
7768,25427,12812.0,45.1,60240.0,29756.0,847.0
7769,25428,12558.0,37.0,58989.0,25327.0,1811.0
7770,25430,8228.0,41.9,69044.0,29966.0,862.0
7771,25431,173.0,57.1,31327.0,24599.0,29.0
7772,25432,112.0,61.9,36765.0,27539.0,14.0
7773,25434,2482.0,46.7,34020.0,18426.0,442.0
7774,25437,377.0,33.0,27159.0,19108.0,28.0
7775,25438,6741.0,35.6,53979.0,26696.0,1114.0
7776,25442,1748.0,42.3,53125.0,31494.0,179.0
7777,25443,7439.0,36.4,77361.0,33927.0,475.0
7778,25444,142.0,61.9,35144.0,49129.0,0.0
7779,25446,1840.0,39.2,69583.0,26133.0,576.0
7780,25501,1339.0,43.9,54153.0,22766.0,147.0
7781,25502,1183.0,53.1,50711.0,21827.0,229.0
7782,25503,1368.0,30.5,47639.0,12118.0,398.0
7783,25504,12876.0,40.0,44320.0,27660.0,1353.0
7784,25505,658.0,38.2,70132.0,19299.0,41.0
7785,25506,5269.0,44.0,26163.0,15206.0,1808.0
