clearance_date,clearance_status,council_district,go_census_tract,go_district,go_highest_offense_desc,go_location,go_location_zip,go_primary_key,go_report_date,go_x_coordinate,go_y_coordinate,highest_nibrs_ucr_offense_description
4-Jan-16,N,9,6.03,B,THEFT                         ,2510 LEON ST                                                                                        ,78705,20165000077,1-Jan-16,3112027,10078868,Theft
14-Jan-16,N,3,23.17,H,BURGLARY OF VEHICLE           ,1109 S PLEASANT VALLEY RD                                                                           ,78741,20165000081,1-Jan-16,3122711,10061235,Theft
23-Feb-16,N,8,17.49,D,THEFT BY SHOPLIFTING          ,5300 S MOPAC EXPY SVRD SB                                                                           ,78749,20165000087,1-Jan-16,3088235,10057797,Theft
19-Feb-16,N,1,8.04,C,THEFT                         ,1149 CHICON ST                                                                                      ,78702,20165000088,1-Jan-16,3121874,10071490,Theft
2-Jan-16,N,7,18.17,B,THEFT OF LICENSE PLATE        ,8140 BURNET RD                                                                                      ,78757,20165000096,1-Jan-16,3117499,10104627,Theft
,,9,3.07,C,BURGLARY OF VEHICLE           ,4103 N IH 35 SVRD NB                                                                                ,78722,20168000001,1-Jan-16,3122113,10081738,Theft
5-Jan-16,N,9,11,G,THEFT                         ,401 E 6TH ST                                                                                        ,78701,20168000002,1-Jan-16,3115440,10070324,Theft
4-Jan-16,N,9,11,G,BURGLARY OF VEHICLE           ,E 3RD ST / RED RIVER ST                                                                             ,78701,20168000007,1-Jan-16,3115803,10069188,Theft
4-Jan-16,N,9,11,G,BURGLARY OF VEHICLE           ,TRINITY ST / E 10TH ST                                                                              ,78701,20168000011,1-Jan-16,3115831,10071792,Theft
22-Mar-16,N,9,4.01,C,BURGLARY OF VEHICLE           ,1405 E 34TH ST                                                                                      ,78722,20168000033,1-Jan-16,3122058,10078979,Theft
12-Jan-16,N,1,21.1,C,AGG ASLT STRANGLE/SUFFOCATE   ,1223 DELANO ST                                                                                      ,78721,201620013,2-Jan-16,3134593,10073739,Agg Assault
29-Jan-16,N,4,18.04,I,ROBBERY BY ASSAULT            ,500 E ST JOHNS AVE                                                                                  ,78752,201620026,2-Jan-16,3125225,10095176,Robbery
8-Jan-16,N,4,18.04,I,AGG ROBBERY/DEADLY WEAPON     ,NORTHCREST BLVD / W ST JOHNS AVE                                                                    ,78752,201620045,2-Jan-16,3123432,10095920,Robbery
2-Jan-16,C,2,24.09,D,BURGLARY OF VEHICLE           ,W STASSNEY LN / EMERALD FOREST DR                                                                   ,78745,201620049,2-Jan-16,3100814,10049567,Theft
8-Jan-16,N,4,18.04,I,AGG ROBBERY/DEADLY WEAPON     ,7205 GUADALUPE ST                                                                                   ,78752,201620110,2-Jan-16,3122845,10096511,Robbery
19-Feb-16,N,3,23.16,H,RAPE                          ,,78741,201620160,2-Jan-16,,,Rape
14-Apr-16,C,4,18.19,E,BURGLARY OF VEHICLE           ,834 W RUNDBERG LN                                                                                   ,78758,201620248,2-Jan-16,3127504,10105925,Theft
14-Apr-16,C,4,18.04,E,BURGLARY OF VEHICLE           ,8028 GESSNER DR                                                                                     ,78753,201620267,2-Jan-16,3126402,10098769,Theft
11-Jan-16,N,8,17.7,D,BURGLARY OF VEHICLE           ,7200 MAGENTA LN                                                                                     ,78739,201620288,2-Jan-16,3062501,10040306,Theft
2-Jan-16,C,9,7,B,AGG ASSAULT                   ,W MARTIN LUTHER KING JR BLVD / NUECES ST                                                            ,78705,201620304,2-Jan-16,3113897,10075899,Agg Assault
4-Jan-16,C,3,23.14,H,AGG ASSAULT FAM/DATE VIOLENCE ,2425 CROMWELL CIR                                                                                   ,78741,201620344,2-Jan-16,3121692,10055203,Agg Assault
