,Zipcode,Population,Median Age,Household Income,Per Capita Income
506,02718,6919,36.6,81797,29602
507,02719,15915,44.3,60179,28658
508,02720,31341,39.9,46287,24961
509,02721,25660,35.1,30610,19235
510,02723,14753,37.1,30143,18574
511,02724,16882,40.1,29253,18691
512,02725,2779,47.6,68125,26918
513,02726,15393,43.7,70302,32585
514,02738,4926,46.2,87793,43383
515,02739,6073,47.4,82065,39312
516,02740,43505,37.5,35730,20723
517,02743,10310,41.7,64583,30064
518,02744,11892,35.7,29063,21000
519,02745,25039,40.5,52093,26414
520,02746,14451,30.3,23058,16085
521,02747,20903,39.8,73601,28272
522,02748,12974,46.9,72121,38458
523,02760,26666,38.7,80071,34630
524,02762,8176,39.1,81371,36802
525,02763,1927,31.2,109361,30834
526,02764,4256,42.3,80987,35736
527,02766,18970,39.2,75538,30772
528,02767,13383,38.9,82670,34687
529,02769,11470,42.8,87563,38415
530,02770,5135,41.3,99129,34957
531,02771,13700,42.9,78032,33136
532,02777,15886,45,71716,33910
533,02779,6336,38,81094,28206
534,02780,48836,38.8,50911,25871
535,02790,15941,44.8,74000,35047
536,02791,29,68,,
537,02802,460,45.3,69083,59318
538,02804,2761,42.8,67821,30940
539,02806,16415,42.8,98612,46838
540,02807,953,50.6,88750,47909
541,02808,2704,39.1,54492,27594
542,02809,23116,40.6,64405,31460
543,02812,1829,34.3,98603,32124
544,02813,7854,45.2,69271,36135
545,02814,7467,43.4,78305,31248
546,02815,283,34.9,140250,40499
547,02816,32825,42.2,66325,29603
548,02817,6028,40.8,84096,37415
549,02818,18296,43.7,84875,49466
550,02822,6227,42.2,102587,37843
551,02825,5377,44.4,79643,36102
552,02826,387,43,33567,24987
553,02827,2082,46.2,76310,33646
554,02828,7488,46.5,75980,37836
555,02830,6974,43.1,75612,32092
556,02831,3340,41.4,81429,28787
557,02832,5166,42.9,67104,32052
558,02833,467,58.2,53516,37762
559,02835,5418,48.6,81667,50071
560,02836,61,30.5,65278,25130
561,02837,3502,49.8,96200,46929
562,02838,3713,41,57885,27343
563,02839,1999,41,78542,27956
564,02840,23652,39.2,58233,36792
565,02841,969,25.1,,29156
566,02842,16200,41.8,71764,34644
567,02852,22706,42,74732,39113
568,02857,8256,45.2,74935,34066
569,02858,526,33.6,65543,24486
570,02859,6246,43.5,66776,29079
571,02860,44005,35.6,31601,19601
572,02861,27555,39.8,53137,25480
573,02863,19360,29.8,32759,15235
574,02864,33085,42.3,72694,34729
575,02865,17119,42.5,78130,37794
576,02871,17239,45.3,77409,42076
577,02872,79,66,,
578,02873,105,64.2,56333,28256
579,02874,5838,38.8,103438,48168
580,02875,366,46.6,70781,34631
581,02876,81,36,29688,38041
582,02878,15706,44.8,63767,32847
583,02879,21009,44,74537,39664
584,02881,7258,19.8,79757,17832
585,02882,14397,43.3,62530,40417
586,02885,10733,42.9,53284,30994
587,02886,29449,44.4,59220,33534
588,02888,19718,43.2,55919,30214
589,02889,28676,41.6,60417,28979
590,02891,20997,43.3,60967,33902
591,02892,4390,43.9,76250,37681
592,02893,29446,38.1,49939,27224
593,02894,303,48.2,59612,40229
594,02895,41476,36.7,39329,21316
595,02896,11771,45.2,80084,35758
596,02898,1546,43.3,73816,29560
597,02903,10011,27.2,22565,28316
598,02904,29446,40.9,40392,25561
599,02905,25685,29.8,44907,21005
600,02906,28673,29.3,66026,43327
601,02907,28081,28.4,33154,14191
602,02908,38895,27.4,42992,19568
603,02909,41014,29.2,33456,15857
604,02910,21167,38.3,56758,26848
605,02911,15757,39.7,47679,25301
606,02912,2014,19.7,,3948
607,02914,22154,41.1,42346,23182
608,02915,16506,45,53591,32841
609,02916,8605,43,63566,35584
610,02917,13965,35.3,71530,29197
611,02919,28832,43.4,54948,28625
612,02920,37908,42,50814,25447
613,02921,11792,41,89256,38996
614,03031,11198,43.6,114591,48649
615,03032,4958,40,92938,34811
616,03033,4930,40.7,101571,37311
617,03034,3985,45.4,95039,36758
618,03036,4684,40.2,102527,36954
619,03037,4200,41.8,85217,36320
620,03038,33689,37.8,68139,31191
621,03042,6261,40.6,72587,30208
622,03043,1606,46.8,74625,36421
623,03044,4232,36.5,79884,29274
624,03045,13704,42,77657,33676
625,03046,2727,44.1,99190,44306
626,03047,1493,45.4,72692,32327
627,03048,3656,41.8,62050,27947
628,03049,7653,42.8,109257,49369
629,03051,24394,39.9,84304,33721
630,03052,8216,39.3,103932,36497
631,03053,23909,39.6,94923,38665
632,03054,25559,39.9,91200,37698
633,03055,15009,38.1,66397,31737
634,03057,2467,43,94764,38228
635,03060,28182,36.2,46830,26993
636,03062,28026,39.8,81866,35866
637,03063,15871,37.6,75622,37301
638,03064,14784,38.3,66853,34589
639,03070,5228,39.2,91211,39273
640,03071,5039,35.8,88264,30434
641,03076,12742,39.6,96210,36558
642,03077,10158,39.9,66519,28555
643,03079,28893,42.1,73010,34496
644,03082,1459,43.4,76852,31838
645,03084,1399,43.4,48056,29377
646,03086,3814,44.9,70606,36567
647,03087,13378,40.8,117402,48336
648,03101,2835,39.6,23276,29668
649,03102,31707,34.2,49370,25331
650,03103,36649,34,50636,23132
651,03104,32309,38.3,58323,31507
652,03106,13317,37.7,84946,35553
653,03109,10251,40.1,71931,32347
654,03110,20980,41.8,127208,52855
655,03215,428,50.5,98750,47128
656,03216,2021,43.7,67083,28648
657,03217,1507,39.6,38821,21256
658,03218,760,43.3,73942,26722
659,03220,7364,41.1,58535,25322
660,03221,1910,44.7,62423,32218
661,03222,5673,44.3,48426,24851
662,03223,3385,40.4,48271,32787
663,03224,2458,44.7,79453,35516
664,03225,3834,37.8,59464,26382
665,03226,960,49.2,58571,32430
666,03227,1054,50.9,53558,31663
667,03229,5622,49.8,84042,44091
668,03230,1178,40.5,47500,24339
669,03231,401,53.8,73516,33853
670,03233,167,57.5,28482,31003
671,03234,4555,40.9,73092,29395
672,03235,8675,39.5,44361,21489
673,03237,2601,38,70947,29337
674,03238,62,32.5,50625,21608
675,03240,1325,47,47723,24029
676,03241,739,55.2,58155,26881
677,03242,4837,33.2,70417,28952
678,03243,1270,41.7,56979,25426
679,03244,8117,37.8,55689,25100
680,03245,1600,48.3,52563,31371
681,03246,16126,43.7,48559,27772
682,03249,7157,49.3,63736,37939
683,03251,1261,45.9,42893,24506
684,03253,6260,46.1,56016,35162
685,03254,4131,55.4,71550,44781
686,03255,2092,45,67188,34307
687,03256,2283,44,60605,24263
688,03257,4367,47.5,67434,37805
689,03258,2524,43.4,76917,31212
690,03259,318,52.7,51528,33460
691,03260,748,45,71750,30391
692,03261,4208,43.2,65465,32300
693,03262,1301,41.3,47375,25917
